codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_tipo_icao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_horario,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_extracao,ocorrencia_datahora,ocorrencia_datahora
201012221302263,INCIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,-10.9072,-37.0482,ARACAJU,SE,BRASIL,SNAU,2010-12-22,11:35:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/12/22 11:35,2010/12/22 11:35
201012214435297,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-10.9033,-37.0831,ARACAJU,SE,BRASIL,****,2010-12-21,13:03:00,NULL,FINALIZADA,A-042/CENIPA/2013,SIM,2013-08-22,9,1,NÃO,2019-01-30,2010/12/21 13:03,2010/12/21 13:03
201012101516635,INCIDENTE,OUTROS,OUTROS,OTHR,-10.9072,-37.0482,ARACAJU,SE,BRASIL,****,2010-12-10,20:25:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/12/10 20:25,2010/12/10 20:25
201006245014587,INCIDENTE,COLISÃO COM AERONAVE NO SOLO,COLISÃO NO SOLO,GCOL,-10.9072,-37.0482,ARACAJU,SE,BRASIL,SBAR,2010-06-24,03:36:00,NULL,FINALIZADA,***,NÃO,NULL,0,2,NÃO,2019-01-30,2010/06/24 03:36,2010/06/24 03:36
201006145456474,ACIDENTE,OUTROS,OUTROS,OTHR,-10.1025,-65.2261,NOVA MAMORÉ,RO,BRASIL,****,2010-06-14,14:25:00,NULL,FINALIZADA,A-084/CENIPA/2012,SIM,2012-08-29,9,1,NÃO,2019-01-30,2010/06/14 14:25,2010/06/14 14:25
201003234452617,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-9.9783,-67.8105,RIO BRANCO,AC,BRASIL,SBRB,2010-03-23,14:30:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/03/23 14:30,2010/03/23 14:30
201004118250886,INCIDENTE,OUTROS,OUTROS,OTHR,-9.9783,-67.8105,RIO BRANCO,AC,BRASIL,SBRB,2010-04-11,19:20:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/04/11 19:20,2010/04/11 19:20
201007235328901,INCIDENTE,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-9.9783,-67.8105,RIO BRANCO,AC,BRASIL,****,2010-07-23,08:08:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/07/23 08:08,2010/07/23 08:08
201012299461452,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-29.6125,-55.3711,ALEGRETE,RS,BRASIL,****,2010-12-29,10:35:00,NULL,FINALIZADA,A-087/CENIPA/2012,SIM,2012-08-29,6,1,NÃO,2019-01-30,2010/12/29 10:35,2010/12/29 10:35
201007306996045,INCIDENTE,OUTROS,OUTROS,OTHR,3.8830,-59.6352,NORMANDIA,RR,BRASIL,****,2010-07-30,20:00:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/07/30 20:00,2010/07/30 20:00
201006096750964,INCIDENTE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-9.4434,-70.4865,SANTA ROSA DO PURUS,AC,BRASIL,****,2010-06-09,13:55:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/06/09 13:55,2010/06/09 13:55
201012033705241,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-12.1342,-38.4226,ALAGOINHAS,BA,BRASIL,****,2010-12-03,23:25:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/12/03 23:25,2010/12/03 23:25
201003192825797,ACIDENTE,POUSO LONGO,EXCURSÃO DE PISTA,RE,-4.5881,-60.1722,UIRAMUTÃ,RR,BRASIL,****,2010-03-19,13:10:00,NULL,FINALIZADA,A-034/CENIPA/2011,SIM,2011-07-21,3,1,SIM,2019-01-30,2010/03/19 13:10,2010/03/19 13:10
201004173868032,INCIDENTE GRAVE,PANE SECA,COMBUSTÍVEL,FUEL,4.5854,-60.1957,UIRAMUTÃ,RR,BRASIL,****,2010-04-17,20:30:00,NULL,FINALIZADA,I-035/CENIPA/2011,SIM,2016-04-29,0,1,NÃO,2019-01-30,2010/04/17 20:30,2010/04/17 20:30
201001152812076,ACIDENTE,OUTROS,OUTROS,OTHR,-6.6150,-64.1117,CANUTAMA,AM,BRASIL,****,2010-01-15,20:22:00,NULL,FINALIZADA,A-519/CENIPA/2016,SIM,2017-02-08,0,1,NÃO,2019-01-30,2010/01/15 20:22,2010/01/15 20:22
201001093512754,INCIDENTE GRAVE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-6.5319,-64.3806,CANUTAMA,AM,BRASIL,****,2010-01-09,12:30:00,NULL,FINALIZADA,IG-028/CENIPA/2011,SIM,2011-07-21,3,1,NÃO,2019-01-30,2010/01/09 12:30,2010/01/09 12:30
201006136161050,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-3.9062,-38.3898,AQUIRAZ,CE,BRASIL,****,2010-06-13,12:50:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/06/13 12:50,2010/06/13 12:50
